sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,utcoff,stationid,New Station
Lubbock_TTU_TX_USA,NA,NA,33.61054,-102.05054,N,495,250,0,33.61054,-102.05054,NA,NA,1562,TRUE
KITcube_VS,NA,NA,48.05614,8.48647,N,553,604,0,48.05614,8.48647,NA,NA,1563,TRUE
Alert_ARCSIX,NA,NA,82.49,-62.42,N,691,377,0,82.49,-62.42,NA,NA,1564,TRUE
Ragged_Point_2,NA,NA,13.165,-59.432,N,414,387,0,13.165,-59.432,NA,NA,1565,TRUE
GSFC_POLAR,NA,NA,38.9925,-76.839833,N,517,331,0,38.9925,-76.839833,NA,NA,1566,TRUE
ESP-VLC-ELPALMAR,NA,NA,39.29791,-0.326363,N,518,576,0,39.29791,-0.326363,NA,NA,1567,TRUE
TEST_Cypress_TX,NA,NA,29.954444,-95.730018,N,481,271,0,29.954444,-95.730018,NA,NA,1568,TRUE
Aguamarga,NA,NA,36.94,-2.033208,N,509,570,0,36.94,-2.033208,NA,NA,1569,TRUE
Bruz_BZH,NA,NA,47.989592,-1.731081,N,553,571,0,47.989592,-1.731081,NA,NA,1570,TRUE
ARIAKE_TOWER_2,NA,NA,33.114,130.29,N,493,994,0,33.114,130.29,NA,NA,1571,TRUE
South_DeKalb_GA,NA,NA,33.688,-84.290493,N,496,307,0,33.688,-84.290493,NA,NA,1572,TRUE
Frying_Pan_Tower,NA,NA,33.4853,-77.5901,N,495,329,0,33.4853,-77.5901,NA,NA,1573,TRUE
Duke_Forest_NC_US,NA,NA,35.970796,-79.093246,N,505,324,0,35.970796,-79.093246,NA,NA,1574,TRUE
Lecce_ECO,NA,NA,40.335857,18.124499,N,522,635,0,40.335857,18.124499,NA,NA,1575,TRUE
AAQ2_SK_Suwon,NA,NA,37.2611,126.9928,N,510,983,0,37.2611,126.9928,NA,NA,1576,TRUE
AAQ3_SK_CBNU,NA,NA,36.6263,127.4566,N,508,985,0,36.6263,127.4566,NA,NA,1577,TRUE
AAQ4_SK_Jincheon,NA,NA,36.8548,127.4413,N,508,985,0,36.8548,127.4413,NA,NA,1578,TRUE
AAQ5_SK_Ansung,NA,NA,36.988539,127.275684,N,509,984,0,36.988539,127.275684,NA,NA,1579,TRUE
Wroclaw_UWR,NA,NA,51.105726,17.08927,N,565,632,0,51.105726,17.08927,NA,NA,1580,TRUE
AAQ6_PH_Meycauayan,NA,NA,14.7644,120.9887,N,420,964,0,14.7644,120.9887,NA,NA,1581,TRUE
AAQ7_PH_Bilibid,NA,NA,14.3835,121.0337,N,419,964,0,14.3835,121.0337,NA,NA,1582,TRUE
Corpus_Christi_TX,NA,NA,27.715174,-97.328741,N,472,266,0,27.715174,-97.328741,NA,NA,1583,TRUE
SEU_Austin_TX,NA,NA,30.228416,-97.754365,N,482,264,0,30.228416,-97.754365,NA,NA,1584,TRUE
AAQ8_MY_Klang,NA,NA,3.014889,101.413111,N,373,902,0,3.014889,101.413111,NA,NA,1585,TRUE
AAQ9_MY_Cheras,NA,NA,3.106236,101.717917,N,373,902,0,3.106236,101.717917,NA,NA,1586,TRUE
HengChun-MetSta,NA,NA,22.003611,120.74612,N,449,963,0,22.003611,120.74612,NA,NA,1587,TRUE
AAQ13_Kx_Wanluan,NA,NA,22.579167,120.57455,N,451,963,0,22.579167,120.57455,NA,NA,1588,TRUE
AAQ12_Kx_Xiaoliuqiu,NA,NA,22.336389,120.36847,N,450,962,0,22.336389,120.36847,NA,NA,1589,TRUE
AAQ10_MY_Banting,NA,NA,2.81664,101.62288,N,372,902,0,2.81664,101.62288,NA,NA,1590,TRUE
