sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,utcoff,Continent
Nzega,Tanzania,Tabora,-4.2169,33.1864,N,344,683,0,-4.22,33.19,AAQE,1834034762,0,africa
Gashua,Nigeria,Yobe,12.8681,11.0464,N,412,612,0,12.87,11.05,AAQE,1566925429,0,africa
Jilib,Somalia,Jubbada Dhexe,0.4883,42.7853,N,363,714,0,0.49,42.79,AAQE,1706018650,0,africa
Ksar_El_Kebir,Morocco,Tanger-Tétouan-Al Hoceïma,35.009,-5.9,N,501,558,0,35.01,-5.9,AAQE,1504230428,0,africa
Koidu,Sierra Leone,Eastern,8.6439,-10.9717,N,396,542,0,8.64,-10.97,AAQE,1694710002,0,africa
Yeebo_Town,Liberia,River Gee,5.25,-7.9167,N,382,552,0,5.25,-7.92,AAQE,1430592314,0,africa
Ouahigouya,Burkina Faso,Nord,13.5833,-2.4167,N,415,569,0,13.58,-2.42,AAQE,1854011699,0,africa
Grand_Bassam,Côte d’Ivoire,Comoé,5.2,-3.7333,N,382,565,0,5.2,-3.73,AAQE,1384167408,0,africa
Glazoue,Benin,Collines,7.9736,2.24,N,393,584,0,7.97,2.24,AAQE,1204842273,0,africa
Bimbo,Central African Republic,Ombella-Mpoko,4.2558,18.4042,N,378,636,0,4.26,18.4,AAQE,1140257478,0,africa
Pobe,Benin,Plateau,6.9667,2.6833,N,389,586,0,6.97,2.68,AAQE,1204955158,0,africa
Djidja,Benin,Zou,7.3333,1.9333,N,390,583,0,7.33,1.93,AAQE,1204250731,0,africa
Baraki,Algeria,Tipaza,36.6667,3.1,N,508,587,0,36.67,3.1,AAQE,1012987490,0,africa
Ariana,Tunisia,L’Ariana,36.8625,10.1956,N,508,610,0,36.86,10.2,AAQE,1788682546,0,africa
Kaya,Burkina Faso,Centre-Nord,13.0833,-1.0833,N,413,574,0,13.08,-1.08,AAQE,1854170035,0,africa
Ed_Damer,Sudan,River Nile,17.59,33.96,N,431,686,0,17.59,33.96,AAQE,1729791168,0,africa
Kilifi,Kenya,Kilifi,-3.6333,39.85,N,346,705,0,-3.63,39.85,AAQE,1404002930,0,africa
Skhirate,Morocco,Rabat-Salé-Kénitra,33.85,-7.03,N,496,555,0,33.85,-7.03,AAQE,1504664899,0,africa
Hoima,Uganda,Hoima,1.4319,31.3525,N,367,677,0,1.43,31.35,AAQE,1800806239,0,africa
Springs,South Africa,Gauteng,-26.2547,28.4428,N,256,668,0,-26.25,28.44,AAQE,1710058382,0,africa
Ondjiva,Angola,Cunene,-17.0667,15.7333,N,293,627,0,-17.07,15.73,AAQE,1024504085,0,africa
Alberton,South Africa,Gauteng,-26.2672,28.1219,N,256,667,0,-26.27,28.12,AAQE,1710738396,0,africa
Mit_Ghamr,Egypt,Ad Daqahlīyah,30.7192,31.2628,N,484,677,0,30.72,31.26,AAQE,1818400389,0,africa
Jima,Ethiopia,Oromīya,7.6667,36.8333,N,392,695,0,7.67,36.83,AAQE,1231214366,0,africa
Winterveld,South Africa,North West,-25.42,27.949,N,259,666,0,-25.42,27.95,AAQE,1710631370,0,africa
Gafsa,Tunisia,Gafsa,34.4225,8.7842,N,499,605,0,34.42,8.78,AAQE,1788454569,0,africa
Catchiungo,Angola,Huambo,-12.5667,16.2333,N,311,629,0,-12.57,16.23,AAQE,1024414170,0,africa
Guelma,Algeria,Guelma,36.45,7.4333,N,507,601,0,36.45,7.43,AAQE,1012266321,0,africa
Baraka,Congo (Kinshasa),Sud-Kivu,-4.1041,29.094,N,345,670,0,-4.1,29.09,AAQE,1180665112,0,africa
Ghardaia,Algeria,Ghardaïa,32.4833,3.6667,N,491,589,0,32.48,3.67,AAQE,1012074690,0,africa
Unwana,Nigeria,Abia,5.8625,7.9486,N,384,602,0,5.86,7.95,AAQE,1566334848,0,africa
Lalo,Benin,Couffo,6.9167,1.8833,N,389,583,0,6.92,1.88,AAQE,1204461381,0,africa
Kwekwe,Zimbabwe,Midlands,-18.9167,29.8167,N,285,672,0,-18.92,29.82,AAQE,1716327793,0,africa
Malindi,Kenya,Kilifi,-3.21,40.1,N,348,705,0,-3.21,40.1,AAQE,1404380224,0,africa
Parow,South Africa,Western Cape,-33.9,18.6,N,225,637,0,-33.9,18.6,AAQE,1710483674,0,africa
Aw_Dheegle,Somalia,Shabeellaha Hoose,1.9775,44.8325,N,369,720,0,1.98,44.83,AAQE,1706678463,0,africa
Vihiga,Kenya,Vihiga,0.0369,34.7101,N,361,688,0,0.04,34.71,AAQE,1404002123,0,africa
Berrouaghia,Algeria,Médéa,36.1333,2.9167,N,506,586,0,36.13,2.92,AAQE,1012339303,0,africa
Rundu,Namibia,Kavango East,-17.9167,19.7667,N,289,640,0,-17.92,19.77,AAQE,1516885937,0,africa
Bwana_Mkubwa,Zambia,Copperbelt,-12.9833,28.7,N,309,669,0,-12.98,28.7,AAQE,1894858787,0,africa
Bama,Nigeria,Borno,11.5189,13.6842,N,407,621,0,11.52,13.68,AAQE,1566590565,0,africa
Ilobu,Nigeria,Osun,7.84,4.486,N,392,591,0,7.84,4.49,AAQE,1566604971,0,africa
Nouadhibou,Mauritania,Dakhlet Nouadhibou,20.9333,-17.0333,N,445,522,0,20.93,-17.03,AAQE,1478176283,0,africa
Tahoua,Niger,Tahoua,14.9,5.2599,N,421,594,0,14.9,5.26,AAQE,1562214493,0,africa
Gogounou,Benin,Alibori,10.8386,2.8361,N,404,586,0,10.84,2.84,AAQE,1204602986,0,africa
Agadez,Niger,Agadez,16.9959,7.9828,N,429,603,0,17,7.98,AAQE,1562789067,0,africa
Beni_Yakhlef,Morocco,Casablanca-Settat,33.6555,-7.3221,N,496,554,0,33.66,-7.32,AAQE,1504512130,0,africa
Munuf,Egypt,Al Minūfīyah,30.4667,30.9333,N,483,676,0,30.47,30.93,AAQE,1818310821,0,africa
Banfora,Burkina Faso,Cascades,10.6308,-4.7589,N,404,562,0,10.63,-4.76,AAQE,1854763822,0,africa
Harshin,Ethiopia,Sumalē,9.2167,43.5878,N,398,716,0,9.22,43.59,AAQE,1231946994,0,africa
Cassongue,Angola,Cuanza-Sul,-11.8333,15,N,314,625,0,-11.83,15,AAQE,1024511668,0,africa
